,Category,Year,Make,Model
287,Wagon,2008,Toyota,Matrix
288,Hatchback,2007,Toyota,Prius
289,SUV,2007,Toyota,FJ Cruiser
290,SUV,2007,Toyota,Sequoia
291,Sedan,2007,Toyota,Camry
292,Sedan,2007,Toyota,Avalon
293,"Hatchback, Sedan",2008,Toyota,Yaris
294,SUV,2007,Toyota,Land Cruiser
295,Pickup,2008,Toyota,Tacoma Double Cab
296,Pickup,2008,Toyota,Tundra CrewMax
297,Pickup,2008,Toyota,Tundra Double Cab
298,"Coupe, Convertible",2008,Toyota,Solara
299,SUV,2007,Toyota,RAV4
300,Wagon,2007,Toyota,Matrix
301,Van/Minivan,2007,Toyota,Sienna
302,"Convertible, Coupe",2007,Toyota,Solara
303,Pickup,2007,Toyota,Tacoma Access Cab
304,Sedan,2006,Toyota,Corolla
305,Pickup,2007,Toyota,Tacoma Regular Cab
306,Pickup,2007,Toyota,Tundra Regular Cab
307,Pickup,2007,Toyota,Tacoma Double Cab
308,SUV,2006,Toyota,RAV4
309,SUV,2006,Toyota,Highlander
310,Pickup,2007,Toyota,Tundra CrewMax
311,Sedan,2006,Toyota,Avalon
312,"Hatchback, Sedan",2007,Toyota,Yaris
313,SUV,2006,Toyota,Land Cruiser
314,Pickup,2007,Toyota,Tundra Double Cab
315,Sedan,2006,Toyota,Camry
316,SUV,2006,Toyota,Sequoia
317,Van/Minivan,2006,Toyota,Sienna
318,SUV,2006,Toyota,4Runner
319,Pickup,2006,Toyota,Tundra Access Cab
320,Wagon,2006,Toyota,Matrix
321,Hatchback,2006,Toyota,Prius
322,Pickup,2006,Toyota,Tacoma Regular Cab
323,Pickup,2006,Toyota,Tacoma Double Cab
324,Pickup,2006,Toyota,Tacoma Access Cab
325,"Coupe, Convertible",2006,Toyota,Solara
326,Sedan,2005,Toyota,Camry
327,SUV,2005,Toyota,4Runner
328,Sedan,2005,Toyota,Avalon
329,Pickup,2006,Toyota,Tundra Double Cab
330,Sedan,2005,Toyota,Echo
331,SUV,2005,Toyota,Land Cruiser
332,Pickup,2005,Toyota,Tundra Regular Cab
333,SUV,2005,Toyota,Sequoia
334,SUV,2005,Toyota,Highlander
335,"Coupe, Convertible",2005,Toyota,Solara
336,Sedan,2004,Toyota,Avalon
337,SUV,2004,Toyota,4Runner
338,Pickup,2006,Toyota,Tundra Regular Cab
339,Wagon,2005,Toyota,Matrix
340,Hatchback,2005,Toyota,Celica
341,Pickup,2005,Toyota,Tacoma Access Cab
342,Pickup,2005,Toyota,Tacoma Double Cab
343,Sedan,2004,Toyota,Corolla
344,Pickup,2004,Toyota,Tacoma Double Cab
345,Hatchback,2005,Toyota,Prius
346,Van/Minivan,2005,Toyota,Sienna
347,Sedan,2005,Toyota,Corolla
348,Sedan,2004,Toyota,Echo
349,SUV,2004,Toyota,RAV4
350,SUV,2005,Toyota,RAV4
351,Pickup,2005,Toyota,Tacoma Regular Cab
352,Sedan,2004,Toyota,Prius
353,Sedan,2004,Toyota,Camry
354,Convertible,2005,Toyota,MR2
355,SUV,2004,Toyota,Highlander
356,Pickup,2005,Toyota,Tundra Access Cab
357,Pickup,2005,Toyota,Tundra Double Cab
358,Convertible,2004,Toyota,MR2
359,Hatchback,2004,Toyota,Celica
360,SUV,2004,Toyota,Sequoia
361,"Coupe, Convertible",2004,Toyota,Solara
362,Van/Minivan,2004,Toyota,Sienna
363,Pickup,2004,Toyota,Tundra Regular Cab
364,Pickup,2004,Toyota,Tacoma Regular Cab
365,Hatchback,2003,Toyota,Celica
366,Pickup,2004,Toyota,Tundra Double Cab
367,Pickup,2004,Toyota,Tacoma Xtracab
368,SUV,2003,Toyota,4Runner
369,Wagon,2003,Toyota,Matrix
370,Van/Minivan,2003,Toyota,Sienna
371,Sedan,2003,Toyota,Echo
372,SUV,2004,Toyota,Land Cruiser
373,Pickup,2004,Toyota,Tundra Access Cab
374,"Hatchback, Wagon",2004,Toyota,Matrix
375,Sedan,2003,Toyota,Corolla
376,Convertible,2003,Toyota,MR2
377,Sedan,2003,Toyota,Prius
378,"Coupe, Convertible",2003,Toyota,Solara
379,Sedan,2003,Toyota,Avalon
380,SUV,2003,Toyota,RAV4
381,Sedan,2003,Toyota,Camry
382,SUV,2003,Toyota,Sequoia
383,Pickup,2003,Toyota,Tundra Access Cab
384,Sedan,2002,Toyota,Corolla
385,SUV,2003,Toyota,Land Cruiser
386,Pickup,2003,Toyota,Tacoma Double Cab
387,SUV,2003,Toyota,Highlander
388,Pickup,2003,Toyota,Tundra Regular Cab
389,SUV,2002,Toyota,4Runner
390,Convertible,2002,Toyota,MR2
391,Hatchback,2002,Toyota,Celica
392,Sedan,2002,Toyota,Prius
393,Sedan,2002,Toyota,Camry
394,SUV,2002,Toyota,RAV4
395,Pickup,2003,Toyota,Tacoma Regular Cab
396,"Sedan, Coupe",2002,Toyota,Echo
397,Sedan,2002,Toyota,Avalon
398,Pickup,2003,Toyota,Tacoma Xtracab
399,SUV,2002,Toyota,Highlander
400,SUV,2002,Toyota,Land Cruiser
401,Van/Minivan,2002,Toyota,Sienna
402,Sedan,2001,Toyota,Prius
403,SUV,2001,Toyota,Highlander
404,"Coupe, Convertible",2002,Toyota,Solara
405,Pickup,2002,Toyota,Tundra Access Cab
406,SUV,2001,Toyota,4Runner
407,SUV,2001,Toyota,Land Cruiser
408,Sedan,2001,Toyota,Corolla
409,Pickup,2002,Toyota,Tacoma Regular Cab
410,Pickup,2002,Toyota,Tundra Regular Cab
411,SUV,2002,Toyota,Sequoia
412,Hatchback,2001,Toyota,Celica
413,Sedan,2001,Toyota,Avalon
414,SUV,2001,Toyota,Sequoia
415,Pickup,2002,Toyota,Tacoma Double Cab
416,Pickup,2002,Toyota,Tacoma Xtracab
417,"Coupe, Sedan",2001,Toyota,Echo
418,Sedan,2001,Toyota,Camry
419,Pickup,2001,Toyota,Tundra Regular Cab
420,Sedan,2000,Toyota,Avalon
421,Sedan,2000,Toyota,Camry
422,Pickup,2001,Toyota,Tundra Access Cab
423,SUV,2001,Toyota,RAV4
424,Van/Minivan,2001,Toyota,Sienna
425,Pickup,2001,Toyota,Tacoma Xtracab
426,Pickup,2001,Toyota,Tacoma Regular Cab
427,Convertible,2001,Toyota,MR2
428,"Coupe, Convertible",2001,Toyota,Solara
429,Sedan,2000,Toyota,Corolla
430,Hatchback,2000,Toyota,Celica
431,Convertible,2000,Toyota,MR2
432,Pickup,2001,Toyota,Tacoma Double Cab
433,"Sedan, Coupe",2000,Toyota,Echo
434,SUV,2000,Toyota,Land Cruiser
435,SUV,2000,Toyota,4Runner
436,"Coupe, Convertible",2000,Toyota,Solara
437,Pickup,2000,Toyota,Tundra Regular Cab
438,Pickup,2000,Toyota,Tacoma Regular Cab
439,SUV,2000,Toyota,RAV4
440,Van/Minivan,2000,Toyota,Sienna
441,SUV,1999,Toyota,RAV4
442,Sedan,1999,Toyota,Avalon
443,Sedan,1999,Toyota,Camry
444,Pickup,2000,Toyota,Tacoma Xtracab
445,Van/Minivan,1999,Toyota,Sienna
446,SUV,1999,Toyota,Land Cruiser
447,SUV,1999,Toyota,4Runner
448,Sedan,1998,Toyota,Avalon
449,Pickup,1998,Toyota,Tacoma Regular Cab
450,Pickup,1999,Toyota,Tacoma Regular Cab
451,Van/Minivan,1998,Toyota,Sienna
452,"Hatchback, Convertible",1999,Toyota,Celica
453,SUV,1998,Toyota,Land Cruiser
454,Pickup,1999,Toyota,Tacoma Xtracab
455,SUV,1998,Toyota,RAV4
456,Pickup,2000,Toyota,Tundra Access Cab
457,Coupe,1999,Toyota,Solara
458,Sedan,1997,Toyota,Camry
459,Sedan,1999,Toyota,Corolla
460,SUV,1997,Toyota,4Runner
461,Sedan,1998,Toyota,Camry
462,SUV,1998,Toyota,4Runner
