,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,YEAR,MONTH,Unnamed: 12
11806,4.0,5656.0,VJT,VistaJet Limited,15618,VNY,"Van Nuys, CA",12900,LBG,"Paris, France",2021,7,
11807,4.0,6770.0,VJT,VistaJet Limited,15618,VNY,"Van Nuys, CA",15335,TSA,"Taipei, Taiwan",2021,7,
11808,4.0,578.0,VJT,VistaJet Limited,14153,PLS,"Providenciales, Turks and Caicos Islands",13303,MIA,"Miami, FL",2021,7,
11809,4.0,5693.0,VJT,VistaJet Limited,13625,NCE,"Nice, France",13061,LRD,"Laredo, TX",2021,7,
11810,4.0,3190.0,VJT,VistaJet Limited,10540,BED,"Bedford, MA",15183,TFS,"Tenerife, Spain",2021,7,
11811,4.0,4670.0,VJT,VistaJet Limited,10299,ANC,"Anchorage, AK",15335,TSA,"Taipei, Taiwan",2021,7,
11812,4.0,5248.0,VJT,VistaJet Limited,12197,HPN,"White Plains, NY",13043,LOS,"Lagos, Nigeria",2021,7,
11813,4.0,3736.0,VJT,VistaJet Limited,11435,DUB,"Dublin, Ireland",13487,MSP,"Minneapolis, MN",2021,7,
11814,4.0,957.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,16443,CSL,"Cabo San Lucas, Mexico",12889,LAS,"Las Vegas, NV",2021,1,
11815,4.0,957.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,12889,LAS,"Las Vegas, NV",16443,CSL,"Cabo San Lucas, Mexico",2021,1,
11816,4.0,1039.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,11032,CUN,"Cancun, Mexico",10693,BNA,"Nashville, TN",2021,1,
11817,4.0,6001.0,24Q,Blue Jet SP Z o o,15618,VNY,"Van Nuys, CA",15718,WAW,"Warsaw, Poland",2021,1,
11818,4.0,1817.0,13Q,Chartright Air Inc.,13931,ORF,"Norfolk, VA",16242,YXE,"Saskatoon, Canada",2021,2,
11819,4.0,1523.0,13Q,Chartright Air Inc.,13068,LRM,"La Romana, Dominican Republic",14100,PHL,"Philadelphia, PA",2021,2,
11820,4.0,1864.0,13Q,Chartright Air Inc.,16271,YYZ,"Toronto, Canada",14712,SCF,"Phoenix, AZ",2021,2,
11821,4.0,193.0,13Q,Chartright Air Inc.,16271,YYZ,"Toronto, Canada",11042,CLE,"Cleveland, OH",2021,2,
11822,4.0,193.0,13Q,Chartright Air Inc.,11042,CLE,"Cleveland, OH",16271,YYZ,"Toronto, Canada",2021,2,
11823,4.0,1880.0,13Q,Chartright Air Inc.,15052,SVD,"St. Vincent, Saint Vincent and the Grenadines",13931,ORF,"Norfolk, VA",2021,2,
11824,4.0,2119.0,AN,"ADVANCED AIR, LLC",11032,CUN,"Cancun, Mexico",12892,LAX,"Los Angeles, CA",2021,2,
11825,4.0,2114.0,AN,"ADVANCED AIR, LLC",12127,HHR,"Hawthorne, CA",11032,CUN,"Cancun, Mexico",2021,2,
11826,4.0,907.0,AN,"ADVANCED AIR, LLC",12127,HHR,"Hawthorne, CA",14832,SJD,"San Jose del Cabo, Mexico",2021,2,
11827,4.0,319.0,NLQ,Nolinor Aviation,16217,YUL,"Montreal, Canada",15167,TEB,"Teterboro, NJ",2021,3,
11828,4.0,3097.0,1UQ,Gainjet Aviation SA,10581,BGR,"Bangor, ME",15018,STN,"London, United Kingdom",2021,3,
